,Symbol,Date,Expiry,Option Type,Strike Price,Open,High,Low,Close,LTP,Settle Price,No. of contracts,Turnover in Lacs,Premium Turnover in Lacs,Open Int,Change in OI,Underlying Value,Delta,OV,OV-Change,OV-Mean,Change,Ratio,Result
15,VEDL,28-Apr-2020,30-Apr-2020,CE,60,17.1,17.1,17.1,17.1,17.1,16.85,1,2.7,0.6,157500,-3500,76.85,2,1.9707602339181278,-47.045069678562065,5.14622287246415,0.0,0.382952756372651,-50.0
16,VEDL,29-Apr-2020,30-Apr-2020,CE,60,0.0,0.0,0.0,17.1,17.1,19.15,0,0.0,0.0,157500,0,79.15,1,1.1198830409356728,-75.97911227154034,3.4829922913031495,inf,0.321529003590379,0.0
17,VEDL,30-Apr-2020,30-Apr-2020,CE,60,23.9,29.5,23.9,29.5,29.5,89.55,7,20.91,6.21,140000,-17500,-,0,0.0,-inf,1.9961830113387016,23.430962343096244,0.0,
0,VEDL,04-May-2020,28-May-2020,CE,70,14.1,14.1,12.6,12.95,13.1,12.95,17,49.62,7.97,59500,7000,79.95,24,18.440154440154444,,,-8.156028368794328,,22.448979591836725
1,VEDL,05-May-2020,28-May-2020,CE,70,13.5,14.2,12.4,12.45,12.4,12.45,26,75.87,12.17,70000,10500,78.9,23,16.4417670682731,-12.154334528540646,,-7.777777777777784,,-13.33333333333333
2,VEDL,06-May-2020,28-May-2020,CE,70,13.65,13.65,12.35,12.4,12.4,12.4,8,23.2,3.6,70000,0,79.45,22,16.766129032258068,1.9346264326183649,,-9.157509157509157,,-7.142857142857134
3,VEDL,07-May-2020,28-May-2020,CE,70,12.35,12.35,11.2,11.35,11.45,11.35,9,25.72,3.67,77000,7000,78.55,21,15.81938325991189,-5.984719864176622,17.216016846895204,-8.097165991902834,0.91887591657212,27.499999999999993
4,VEDL,08-May-2020,28-May-2020,CE,70,12.3,12.3,9.85,9.9,9.95,9.9,18,51.07,6.97,112000,35000,77.4,20,14.949494949494962,-5.818847481842955,16.34242645348102,-19.51219512195122,0.9147659309986151,-14.634146341463408
5,VEDL,11-May-2020,28-May-2020,CE,70,10.95,12.0,10.5,11.7,12.0,11.7,11,31.28,4.33,98000,-14000,79.6,17,13.94871794871794,-7.174688057041156,15.845002413888304,6.849315068493151,0.8803228667539835,-48.387096774193544
6,VEDL,12-May-2020,28-May-2020,CE,70,13.45,20.3,12.75,19.95,19.6,19.95,21,63.23,11.78,73500,-24500,89.05,16,15.278195488721803,8.701796890773315,14.905865386041597,48.3271375464684,1.0249787646028836,39.99999999999999
7,VEDL,13-May-2020,28-May-2020,CE,70,30.0,30.4,20.15,21.0,20.95,21.0,28,91.53,22.93,66500,-7000,90.25,15,14.464285714285715,-5.627030539311222,14.725469462311567,-30.0,0.9822631292880457,-28.571428571428566
8,VEDL,14-May-2020,28-May-2020,CE,70,19.5,20.5,19.5,20.2,20.2,19.75,3,9.46,2.11,70000,3500,89.15,14,13.272277227722777,-8.98119038738208,14.563733050575152,3.589743589743586,0.9113238468208964,-25.000000000000007
9,VEDL,15-May-2020,28-May-2020,CE,70,18.7,19.45,18.7,19.45,19.45,23.3,2,6.24,1.34,73500,3500,92.95,13,15.339331619537278,13.475517989204642,14.338252810243432,4.010695187165775,1.0698187444831955,100.0
10,VEDL,18-May-2020,28-May-2020,CE,70,24.0,24.65,24.0,24.65,24.65,22.7,3,9.89,2.54,63000,-10500,92.5,10,9.127789046653144,-68.05089974293064,14.358631520515255,2.7083333333333277,0.63570048674984,0.0
11,VEDL,19-May-2020,28-May-2020,CE,70,22.3,22.3,22.3,22.3,22.3,20.2,1,3.23,0.78,66500,3500,90.0,9,8.071748878923767,-13.08316430020283,12.579799297971066,0.0,0.6416436930138957,33.33333333333335
12,VEDL,20-May-2020,28-May-2020,CE,70,0.0,0.0,0.0,22.3,22.3,18.7,0,0.0,0.0,66500,0,88.55,8,6.654708520179371,-21.29380053908358,10.846289848371397,inf,0.6135469928621349,0.0
13,VEDL,21-May-2020,28-May-2020,CE,70,21.4,21.4,21.4,21.4,21.4,20.3,1,3.2,0.75,63000,-3500,90.2,7,6.60747663551402,-0.7148248457132295,7.951415481918761,0.0,0.8309811819718376,0.0
14,VEDL,22-May-2020,28-May-2020,CE,70,0.0,0.0,0.0,21.4,21.4,19.15,0,0.0,0.0,63000,0,89.1,6,5.355140186915887,-23.385689354275794,7.111311344872386,inf,0.7530453846289844,100.0
15,VEDL,26-May-2020,28-May-2020,CE,70,0.0,0.0,0.0,21.4,21.4,17.9,0,0.0,0.0,63000,0,87.9,2,1.672897196261683,-220.1117318435752,6.205775114203092,inf,0.26957103109214203,0.0
16,VEDL,27-May-2020,28-May-2020,CE,70,0.0,0.0,0.0,21.4,21.4,17.9,0,0.0,0.0,63000,0,87.9,1,0.8364485981308415,-100.0,4.545171339563864,inf,0.18403015764222075,0.0
17,VEDL,28-May-2020,28-May-2020,CE,70,0.0,0.0,0.0,21.4,21.4,89.95,0,0.0,0.0,63000,0,89.95,0,0.0,-inf,2.6214953271028034,inf,0.0,
0,VEDL,01-Jun-2020,25-Jun-2020,CE,90,5.9,8.55,5.9,6.65,6.8,6.65,472,1605.32,118.52,1589000,-612500,93.65,24,13.172932330827088,,,12.711864406779661,,-30.357142857142854
1,VEDL,02-Jun-2020,25-Jun-2020,CE,90,7.0,9.3,6.85,8.9,8.75,8.9,330,1133.15,93.65,1277500,-311500,96.9,23,17.831460674157317,26.12533223417707,,27.142857142857146,,2.85714285714286
2,VEDL,03-Jun-2020,25-Jun-2020,CE,90,9.4,13.4,8.0,8.4,8.85,8.4,341,1205.16,131.01,794500,-483000,-,22,17.547619047619055,-1.617550653270963,,-10.638297872340425,,-35.29411764705881
3,VEDL,04-Jun-2020,25-Jun-2020,CE,90,10.6,15.85,9.85,15.2,14.7,15.2,175,630.09,78.84,693000,-101500,104.4,21,19.89473684210527,11.797682035777273,16.184004017534487,43.39622641509433,1.2292839782139455,-27.272727272727277
4,VEDL,05-Jun-2020,25-Jun-2020,CE,90,14.5,17.0,14.0,16.3,16.7,16.3,68,251.03,36.83,619500,-73500,-,20,18.77300613496932,-5.975232198142476,18.42460552129388,12.413793103448281,1.0189095290682226,-16.666666666666664
5,VEDL,08-Jun-2020,25-Jun-2020,CE,90,16.7,21.65,14.5,16.15,15.4,16.15,128,482.76,79.56,595000,-24500,-,17,15.894736842105258,-18.108316743184506,18.738454008231216,-3.293413173652699,0.848241633761419,4.761904761904765
6,VEDL,09-Jun-2020,25-Jun-2020,CE,90,16.6,18.6,15.0,15.0,15.0,15.0,45,168.16,26.41,532000,-63000,-,16,15.573333333333327,-2.063806777217026,18.187493273059953,-9.638554216867478,0.8562660669901758,-31.818181818181824
7,VEDL,10-Jun-2020,25-Jun-2020,CE,90,15.5,18.6,15.5,16.65,16.6,16.65,47,176.97,28.92,441000,-91000,-,15,14.504504504504501,-7.368944099378863,16.747025436802634,7.419354838709669,0.8660943735494632,31.25
8,VEDL,11-Jun-2020,25-Jun-2020,CE,90,16.05,16.6,12.05,12.4,13.0,12.4,19,69.18,9.33,441000,0,-,14,12.4758064516129,-16.261057437528027,15.32419155998103,-22.741433021806856,0.8141249346029674,-43.333333333333336
9,VEDL,12-Jun-2020,25-Jun-2020,CE,90,10.7,14.35,10.2,13.75,13.2,13.75,26,92.4,10.5,444500,3500,-,13,12.574545454545452,0.7852292020373578,14.184548096483576,28.504672897196272,0.886496021516734,-12.50000000000001
10,VEDL,15-Jun-2020,25-Jun-2020,CE,90,14.65,14.65,12.85,13.15,13.15,13.15,11,39.84,5.19,455000,10500,-,10,9.42965779467681,-33.3510263929618,13.184952136887619,-10.238907849829351,0.715183316312192,39.99999999999999
11,VEDL,16-Jun-2020,25-Jun-2020,CE,90,15.4,16.0,12.5,14.5,14.5,14.5,16,58.69,8.29,444500,-10500,-,9,8.596551724137928,-9.691165682161088,11.493336566945056,-5.844155844155846,0.7479596263509495,7.692307692307682
12,VEDL,17-Jun-2020,25-Jun-2020,CE,90,13.6,14.45,13.0,13.0,13.0,12.4,8,29.02,3.82,430500,-14000,-,8,7.446153846153843,-15.449558278711898,10.20025165778673,-4.411764705882351,0.7299970722261105,-64.28571428571428
13,VEDL,18-Jun-2020,25-Jun-2020,CE,90,16.0,17.7,15.5,17.25,17.25,17.25,12,44.78,6.98,420000,-10500,-,7,6.898550724637682,-7.937944408532588,8.49078778832286,7.8125,0.812474754595217,0.0
14,VEDL,19-Jun-2020,25-Jun-2020,CE,90,19.05,19.05,16.1,16.1,16.1,15.35,6,22.57,3.67,406000,-14000,-,6,5.683229813664596,-21.38433515482697,7.647085431643151,-15.485564304461938,0.743189005074764,-33.33333333333333
15,VEDL,22-Jun-2020,25-Jun-2020,CE,90,15.5,21.5,15.5,20.5,20.5,20.1,35,133.86,23.61,336000,-70000,-,3,2.934146341463414,-93.69278666687322,6.67597812815204,32.25806451612903,0.43950808183303736,-50.0
16,VEDL,23-Jun-2020,25-Jun-2020,CE,90,20.2,20.2,20.05,20.05,20.05,20.0,2,7.71,1.41,332500,-3500,-,2,1.99501246882793,-47.07408536585364,5.171975626588564,-0.7425742574257356,0.385735087105165,0.0
17,VEDL,24-Jun-2020,25-Jun-2020,CE,90,21.2,23.0,18.4,18.4,18.4,19.45,20,77.29,14.29,294000,-38500,109.45,1,1.0570652173913047,-88.73125669117687,3.5374628746519803,-13.207547169811324,0.29882015864132566,0.0
18,VEDL,25-Jun-2020,25-Jun-2020,CE,90,19.15,21.2,18.85,21.1,21.0,111.25,11,42.29,7.64,273000,-21000,111.25,0,0.0,-inf,1.9954080092275497,10.182767624020904,0.0,
0,VEDL,01-Jul-2020,30-Jul-2020,CE,100,11.3,12.1,10.8,11.25,11.25,11.25,21,144.8,14.6,731600,6200,-,29,19.848888888888897,,,-0.44247787610620093,,-1.6666666666666607
1,VEDL,02-Jul-2020,30-Jul-2020,CE,100,11.0,11.0,9.6,9.7,9.7,10.25,17,116.14,10.74,812200,80600,106.4,28,18.47422680412373,-7.440972222222153,,-11.818181818181825,,-3.2258064516129057
2,VEDL,03-Jul-2020,30-Jul-2020,CE,100,9.2,10.5,7.65,9.85,9.45,9.85,114,771.13,64.33,1271000,458800,106.45,27,17.68020304568529,-4.491033029353229,,7.065217391304353,,-32.69230769230769
3,VEDL,06-Jul-2020,30-Jul-2020,CE,100,9.25,12.9,9.25,12.3,12.0,12.3,28,193.94,20.34,1277200,6200,-,24,20.0,11.598984771573555,18.667772912899306,32.97297297297298,1.0713650789152322,22.85714285714285
4,VEDL,07-Jul-2020,30-Jul-2020,CE,100,11.5,11.5,9.55,9.65,9.75,9.65,18,123.37,11.77,1277200,0,107.6,23,18.113989637305686,-10.411899313501229,18.718143283269672,-16.086956521739125,0.9677236338657595,-14.634146341463408
5,VEDL,08-Jul-2020,30-Jul-2020,CE,100,10.65,15.0,10.55,12.85,12.85,12.55,67,468.6,53.2,1072600,-204600,-,22,17.805447470817132,-1.7328526395882484,18.59806422766366,20.657276995305157,0.957381760427112,-12.90322580645161
6,VEDL,09-Jul-2020,30-Jul-2020,CE,100,13.6,15.3,13.5,14.05,14.25,14.05,73,519.3,66.7,799800,-272800,-,21,17.935943060498218,0.7275646964362137,18.639812369374273,3.3088235294117725,0.9622383908739054,29.166666666666675
7,VEDL,10-Jul-2020,30-Jul-2020,CE,100,13.0,13.0,11.5,12.2,12.2,12.25,16,111.27,12.07,861800,62000,-,20,16.967213114754088,-5.709422868636905,17.951793389540345,-6.153846153846159,0.9451542108678721,-11.538461538461549
8,VEDL,13-Jul-2020,30-Jul-2020,CE,100,14.0,15.3,13.3,13.95,13.95,13.95,17,120.5,15.1,806000,-55800,-,17,15.11111111111112,-12.283027965284344,17.569534548689813,-0.3571428571428622,0.8600746405224479,18.51851851851852
9,VEDL,14-Jul-2020,30-Jul-2020,CE,100,12.65,12.75,10.5,11.0,11.35,11.0,28,193.31,19.71,868000,62000,-,16,12.945454545454554,-16.729088639200985,16.67142242878781,-13.043478260869568,0.7765057001435376,10.344827586206906
10,VEDL,15-Jul-2020,30-Jul-2020,CE,100,11.8,12.25,10.7,11.1,10.9,11.1,32,220.82,22.42,880400,12400,-,15,12.29729729729729,-5.27072927072941,15.007926257106588,-5.932203389830517,0.8193868417679787,-28.57142857142857
11,VEDL,16-Jul-2020,30-Jul-2020,CE,100,9.0,11.95,8.45,10.3,10.5,10.3,82,558.76,50.36,874200,-6200,-,14,12.097087378640783,-1.6550258123290658,13.451287651287656,14.444444444444452,0.8993256030386624,4.761904761904765
12,VEDL,17-Jul-2020,30-Jul-2020,CE,100,11.35,11.95,9.6,10.25,10.55,10.25,30,205.87,19.87,892800,18600,-,13,11.604878048780495,-4.241400278325299,12.446613073797542,-9.691629955947134,0.9323723634673712,10.000000000000009
13,VEDL,20-Jul-2020,30-Jul-2020,CE,100,11.1,11.1,9.3,9.3,9.3,9.2,6,40.89,3.69,892800,0,-,10,8.709677419354833,-33.241192411924295,11.999754241572857,-16.216216216216207,0.7258213163383269,-25.0
14,VEDL,21-Jul-2020,30-Jul-2020,CE,100,11.45,12.1,9.65,11.55,11.3,11.55,14,96.32,9.52,843200,-49600,-,9,8.415584415584412,-3.4946236559139496,10.80388094892537,0.8733624454148596,0.7789408690607134,-13.33333333333333
15,VEDL,22-Jul-2020,30-Jul-2020,CE,100,12.05,17.8,12.05,13.05,13.05,13.05,33,234.91,30.31,799800,-43400,-,8,7.417624521072793,-13.453901470430413,9.576713294573247,8.29875518672199,0.7745480409522204,-50.0
16,VEDL,23-Jul-2020,30-Jul-2020,CE,100,13.9,14.9,13.65,14.15,13.85,14.15,30,212.18,26.18,824600,24800,113.95,7,6.901060070671379,-7.48529131918075,8.18096211867068,1.7985611510791366,0.8435511582337859,39.99999999999999
17,VEDL,24-Jul-2020,30-Jul-2020,CE,100,13.75,13.95,10.5,12.2,12.7,12.2,62,430.5,46.1,899000,74400,-,6,5.9262295081967205,-16.449423045907107,7.578089669109528,-11.272727272727277,0.7820215604407184,14.285714285714299
18,VEDL,27-Jul-2020,30-Jul-2020,CE,100,11.3,11.5,9.95,10.3,10.7,10.3,35,239.73,22.73,756400,-142600,-,3,2.8689320388349495,-106.56569859365909,6.748304699980298,-8.849557522123893,0.42513374341904353,-50.0
19,VEDL,28-Jul-2020,30-Jul-2020,CE,100,11.6,11.6,10.3,11.05,11.05,11.05,15,102.83,9.83,682000,-74400,-,2,1.9638009049773744,-46.09077893606549,5.232073872567683,-4.7413793103448185,0.3753389101162716,49.999999999999986
20,VEDL,29-Jul-2020,30-Jul-2020,CE,100,11.15,13.15,10.1,10.15,10.1,10.15,55,381.78,40.78,545600,-136400,110,1,0.9852216748768473,-99.32579185520349,3.586320817336348,-8.968609865470851,0.27471654797704254,-50.0
21,VEDL,30-Jul-2020,30-Jul-2020,CE,100,10.0,12.6,10.0,11.1,12.6,110.9,23,158.52,15.92,465000,-80600,-,0,0.0,-inf,1.9393182062297238,10.999999999999996,0.0,
0,VEDL,03-Aug-2020,27-Aug-2020,CE,110,8.0,10.6,8.0,8.8,8.65,8.8,305,2255.38,175.28,2864400,24800,-,24,14.454545454545444,,,10.000000000000009,,-30.909090909090914
1,VEDL,04-Aug-2020,27-Aug-2020,CE,110,8.85,12.1,8.7,11.45,11.55,11.45,113,844.76,74.1,2864400,0,-,23,18.17903930131004,20.487847487607322,,29.378531073446325,,-9.375000000000009
2,VEDL,05-Aug-2020,27-Aug-2020,CE,110,12.65,15.0,12.05,14.05,14.3,14.05,181,1382.53,148.11,2442800,-421600,121.95,22,18.711743772241995,2.846899131454526,,11.067193675889332,,7.1428571428571495
3,VEDL,06-Aug-2020,27-Aug-2020,CE,110,14.2,16.65,12.6,15.8,16.5,15.8,96,742.6,87.88,2498600,55800,-,21,16.946202531645568,-10.418506667198338,17.115109509365826,11.267605633802827,0.9901311190776881,13.636363636363628
4,VEDL,07-Aug-2020,27-Aug-2020,CE,110,16.4,17.8,14.4,14.65,14.85,14.65,113,882.85,112.19,2263000,-235600,-,20,17.474402730375424,3.022708168512651,17.945661868399203,-10.670731707317064,0.9737396624610638,13.636363636363628
5,VEDL,10-Aug-2020,27-Aug-2020,CE,110,14.55,17.0,14.2,17.0,17.0,17.0,10,77.33,9.13,2201000,-62000,-,17,15.200000000000003,-14.96317585773303,17.710783011420997,16.838487972508585,0.858234217549733,0.0
6,VEDL,11-Aug-2020,27-Aug-2020,CE,110,18.0,18.0,16.3,16.35,16.3,16.35,4,31.48,4.2,2176200,-24800,-,16,15.266055045871553,0.4326923076922483,16.540201754006997,-9.166666666666659,0.9229666767621639,inf
7,VEDL,12-Aug-2020,27-Aug-2020,CE,110,0.0,0.0,0.0,16.35,16.3,14.45,0,0.0,0.0,2176200,0,-,15,12.29357798165138,-24.179104477611855,15.980152592082327,inf,0.7693029156519111,24.999999999999993
8,VEDL,13-Aug-2020,27-Aug-2020,CE,110,16.5,16.5,16.5,16.5,16.5,15.3,2,15.69,2.05,2163800,-12400,-,14,12.260606060606063,-0.2689257030389121,14.253211009174313,0.0,0.8601995755703274,60.0
9,VEDL,14-Aug-2020,27-Aug-2020,CE,110,0.0,0.0,0.0,16.5,16.5,13.6,0,0.0,0.0,2163800,0,-,13,9.966666666666672,-23.01611432046211,13.273413029376334,inf,0.750874446881803,-72.72727272727273
10,VEDL,17-Aug-2020,27-Aug-2020,CE,110,15.85,18.75,15.85,18.75,18.75,18.75,9,71.03,9.65,2108000,-55800,-,10,9.573333333333334,-4.108635097493084,11.506950236308038,18.296529968454262,0.8319609572244837,14.285714285714299
11,VEDL,18-Aug-2020,27-Aug-2020,CE,110,19.45,19.75,14.75,14.75,14.75,17.1,4,31.77,4.49,2083200,-24800,126.8,9,10.250847457627117,6.609347442680752,10.600202020202024,-24.16452442159383,0.967042650516556,-9.090909090909099
12,VEDL,19-Aug-2020,27-Aug-2020,CE,110,19.5,19.9,19.5,19.9,19.9,19.2,2,16.08,2.44,2070800,-12400,-,8,7.658291457286437,-33.85292940077394,9.930282485875708,2.051282051282044,0.7712058008600635,11.111111111111107
13,VEDL,20-Aug-2020,27-Aug-2020,CE,110,20.0,20.4,20.0,20.0,20.0,19.1,5,40.32,6.22,2039800,-31000,128.95,7,6.632499999999996,-15.466135805298789,9.160824082748963,0.0,0.7240069168547691,16.666666666666664
14,VEDL,21-Aug-2020,27-Aug-2020,CE,110,21.2,21.65,21.05,21.3,21.4,21.3,8,65.14,10.58,1990200,-49600,-,6,5.830985915492954,-13.745772946859896,8.180546304971182,0.4716981132075539,0.7127868602063362,-83.33333333333334
15,VEDL,24-Aug-2020,27-Aug-2020,CE,110,20.25,20.25,17.75,19.05,18.8,19.05,344,2751.36,405.28,874200,-1116000,-,3,2.9606299212598444,-96.95085406053317,6.707259124259796,-5.925925925925923,0.4414068200453752,0.0
16,VEDL,25-Aug-2020,27-Aug-2020,CE,110,0.0,0.0,0.0,19.05,18.8,20.1,0,0.0,0.0,874200,0,-,2,2.104986876640421,-40.6483790523691,5.141371945584265,inf,0.40942123987903983,0.0
